date,ac
2017-5-24,10.35
2017-5-25,10.49
2017-5-26,10.42
2017-5-31,10.48
2017-6-1,10.05
2017-6-2,10.18
2017-6-5,10.26
2017-6-6,10.3
2017-6-7,10.49
2017-6-8,10.44
2017-6-9,10.63
2017-6-12,11.1
2017-6-13,11.04
2017-6-14,11.02
2017-6-15,10.94
2017-6-16,10.95
2017-6-19,10.98
2017-6-20,10.92
2017-6-21,11.04
2017-6-22,10.75
2017-6-23,10.77
2017-6-26,11.05
2017-6-27,11.02
2017-6-28,10.84
2017-6-29,11.23
2017-6-30,11.16
2017-7-3,11.21
2017-7-4,11
2017-7-5,11.09
2017-7-6,10.9
2017-7-7,10.86
2017-7-10,10.76
2017-7-11,10.83
2017-7-12,10.81
2017-7-13,10.94
2017-7-14,11.11
2017-7-17,10.72
2017-7-18,10.84
2017-7-19,10.55
2017-7-20,10.46
2017-7-21,10.49
2017-7-24,10.42
2017-7-25,10.49
2017-7-26,10.49
2017-7-27,10.67
2017-7-28,10.74
2017-7-31,11.81
2017-8-1,12.21
2017-8-2,12.1
2017-8-3,11.91
2017-8-4,11.91
2017-8-7,11.78
2017-8-8,11.93
2017-8-9,12.03
2017-8-10,11.79
2017-8-11,11.35
2017-8-14,11.59
2017-8-15,11.59
2017-8-16,11.98
2017-8-21,11.98
2017-8-22,12.06
2017-8-23,11.77
2017-8-24,11.56
2017-8-25,11.65
2017-8-28,11.85
2017-8-29,11.76
2017-8-30,11.77
2017-8-31,11.82
2017-9-1,11.68
2017-9-4,11.61
2017-9-5,11.57
2017-9-6,11.6
2017-9-7,11.48
2017-9-8,11.59
2017-9-11,11.84
2017-9-12,11.88
2017-9-13,11.91
2017-9-14,11.75
2017-9-15,11.68
2017-9-18,11.91
2017-9-19,11.82
2017-9-20,12.56
2017-9-21,12.9
2017-9-22,12.68
2017-9-25,12.7
2017-9-26,12.39
2017-9-27,12.3
2017-9-28,12.99
2017-9-29,13
2017-10-9,13.74
2017-10-10,13.85
2017-10-11,14.09
2017-10-12,13.98
2017-10-13,14.28
2017-10-16,13.81
2017-10-17,13.95
2017-10-18,13.89
2017-10-19,13.43
2017-10-20,13.61
2017-10-23,13.98
2017-10-24,13.67
2017-10-25,13.66
2017-10-26,14.34
2017-10-27,14.4
2017-10-30,14.56
2017-10-31,14.33
2017-11-1,14.39
2017-11-2,13.91
2017-11-3,13.75
2017-11-6,14.32
2017-11-7,14.6
2017-11-8,14.17
2017-11-9,14.19
2017-11-10,14.02
2017-11-13,13.13
2017-11-14,12.99
2017-11-15,12.64
2017-11-16,12.63
2017-11-17,12.29
2017-11-20,12.3
2017-11-21,12.52
2017-11-22,12.31
2017-11-23,12.01
2017-11-24,11.85
2017-11-27,11.81
2017-11-28,11.94
2017-11-29,12.02
2017-11-30,11.83
2017-12-1,11.92
2017-12-4,11.96
2017-12-5,11.79
2017-12-6,12.23
2017-12-7,12.11
2017-12-8,12.26
2017-12-11,12.51
2017-12-12,12.2
2017-12-13,11.97
2017-12-14,12.4
2017-12-15,12.45
2017-12-18,12.16
2017-12-19,12.28
2017-12-20,12.67
2017-12-21,12.66
2017-12-22,12.65
2017-12-25,12.28
2017-12-26,12.42
2017-12-27,12.08
2017-12-28,12.08
2017-12-29,12.19
2018-1-2,12.41
2018-1-3,12.44
2018-1-4,12.5
2018-1-5,12.31
2018-1-8,12.26
2018-1-9,12.35
2018-1-10,12.58
2018-1-11,12.98
2018-1-12,12.84
2018-1-15,13.09
2018-1-16,13.62
2018-1-17,13.59
2018-1-18,13.54
2018-1-19,13.26
2018-1-22,13.73
2018-1-23,13.48
2018-1-24,13.65
2018-1-25,13.44
2018-1-26,13.26
2018-1-29,13.28
2018-1-30,13.35
2018-1-31,13.09
2018-2-1,12.38
2018-2-2,12.36
2018-2-5,12.46
2018-2-6,11.72
2018-2-7,11.86
2018-2-8,12.27
2018-2-9,11.73
2018-2-12,11.88
2018-2-13,11.94
2018-2-14,11.91
2018-2-22,12.12
2018-2-23,12.09
2018-2-26,12.43
2018-2-27,12.38
2018-2-28,12.4
2018-3-1,12.5
2018-3-2,12.63
2018-3-5,12.71
2018-3-6,12.84
2018-3-7,12.59
2018-3-8,12.5
2018-3-9,13.1
2018-3-12,13.41
2018-3-13,13.4
2018-3-14,13.29
2018-3-15,13.5
2018-3-16,13.2
2018-3-19,13.28
2018-3-20,13.11
2018-3-21,13.11
2018-3-22,13.97
2018-3-23,13.05
2018-3-26,13.42
2018-3-27,13.73
2018-3-28,13.54
2018-3-29,13.94
2018-3-30,13.96
2018-4-2,14.12
2018-4-3,14.03
2018-4-4,14.09
2018-4-9,13.48
2018-4-10,13.56
2018-4-11,13.55
2018-4-12,13.55
2018-4-13,13.45
2018-4-16,13.16
2018-4-17,12.99
2018-4-18,13.02
2018-4-19,12.98
2018-4-20,12.56
2018-4-23,12.69
2018-4-24,12.87
2018-4-25,12.99
2018-4-26,12.73
2018-4-27,12.88
2018-5-2,13.11
2018-5-3,13.28
2018-5-4,13.17
2018-5-7,13.6
2018-5-8,13.61
2018-5-9,13.57
2018-5-10,13.56
2018-5-11,13.31
2018-5-14,13.85
2018-5-15,13.85
2018-5-16,13.79
2018-5-17,13.57
2018-5-18,13.88
2018-5-21,13.78
2018-5-22,13.71
2018-5-23,13.79
2018-5-24,14.54
2018-5-25,15.2
2018-5-28,15.28
2018-5-29,14.86
2018-5-30,15.02
2018-5-31,16.14
2018-6-1,15.71
2018-6-4,15.67
2018-6-5,15.85
2018-6-6,16.01
2018-6-7,15.57
2018-6-8,15.08
2018-6-11,15.09
2018-6-12,15.16
2018-6-13,14.95
2018-6-14,15.3
2018-6-15,14.45
2018-6-19,13.19
2018-6-20,13.47
2018-6-21,13.61
2018-6-22,14.06
2018-6-25,14.1
2018-6-26,14.05
2018-6-27,13.28
2018-6-28,13.28
2018-6-29,13.97
2018-7-2,13.65
2018-7-3,13.15
2018-7-4,12.69
2018-7-5,12.58
2018-7-6,12.72
2018-7-9,13.16
2018-7-10,13.05
2018-7-11,12.71
2018-7-12,13.08
2018-7-13,13.11
2018-7-16,13.46
2018-7-17,13.44
2018-7-18,13.4
2018-7-19,13.58
2018-7-20,13.55
2018-7-23,13.7
2018-7-24,13.9
2018-7-25,13.85
2018-7-26,13.61
2018-7-27,13.44
2018-7-30,12.98
2018-7-31,13.21
